BOB_COMPANY_ID,ACCOUNT_NAME,COUNTRY,INDUSTRY,PAYING_MODULES,ACCOUNT_OWNER,RENEWAL_MANAGER,ACCOUNT_MANAGER,MASTER_CONTRACT_END_DATE_C,QUARTER,TENURE_YEARS,ARR,ACTIVE_USERS,MAX_QUOTED_NUMBER_EE,CUSTOMER_IS_LIVE,ACCOUNT_HEALTH_SENTIMENT,SEGMENT,RISK_SEVERITY,Risk - DESCRIPTION,OPEN_CHURN_REQUESTS,TOTAL_CUSTOMER_RELATED_RISKS
303038,Finalto,Israel,Software General,"Compensation,  Talent Package,  Time & Attendance,  Sandbox",Daniel Rosemberg,Jurgita Kazlauskaite,Harry Isitt,2026-05-31,Q2 2026,4.76,"$29,496.00",89,100,TRUE,High Risk,SMB - Medium,🟡 Low,"We are Finalto (formerly TradeTech Group) and we’re here to take the global financial markets to new heights.

From liquidity, risk and tech for businesses to trading and investments for the public we have the scale and the expertise to give you total access to every part of the world’s markets.

But more than this, we give you complete control over what you do with them too. Like award winning multi-asset liquidity from tier 1 banks to give brokers the flexibility they need for their trading customers to control and responsible execution of high-risk trades for high value clients, banks and business. Our
leading-edge technology enables you to stay on top of every aspect of your trading platform and customer relationships.

We do it all through an innovative, fair and responsible approach that goes over and above to put you first.

So if you’re looking to take your markets access to the next level, there’s only one name you need to know.",0,1
635744,ADDRESS ROBOTICS LIMITED,Serbia,Business Services,,Daniel Rosemberg,Maria Tsamtsika,Amrit Grewal,2026-03-20,Q1 2026,1.95,"$22,269.41",155,60,TRUE,,SMB - Medium,🟢 No Risk,FunkFlow is a company that operates in the Construction industry. It employs 250to499 people and has 10Mto25M of revenue. The company is headquartered in the United Kingdom.,0,0
634817,Revelator,Israel,Media & Internet,"Time & Attendance,  Talent Package",Daniel Rosemberg,Jurgita Kazlauskaite,Amrit Grewal,2026-12-09,Q4 2026,2.23,"$19,148.40",81,60,TRUE,,SMB - Small,🔴 High,"Revelator was founded in 2012 by music industry veteran Bruno Guez. Backed by a team of seasoned music industry and software development professionals, Revelator is a leading provider of copyright and data services for today's digital music business. 

Revelator's cloud-native digital asset platform addresses the challenges of aggregating, processing, reporting and analyzing large volumes of data, and solves the problems of transparency in royalty distributions to copyright owners and creators across IP verticals. Revelator's industry-leading end-to-end solutions, help enterprises generate more value from their data while enabling them to share access to data with rights owners in unprecedented transparent, and efficient ways in easy-to-use web and mobile applications. 

Revelator's suite of APIs power copyright businesses of all sizes from distributors to record labels, music publishers & collective rights organizations.",0,1
428513,Simple App,Cyprus,Recreation,Talent Package,Daniel Rosemberg,Barak Alon,Amrit Grewal,2026-07-18,Q3 2026,4.63,"$38,759.76",202,100,TRUE,Medium Risk,Mid Market - Medium,🟢 No Risk,"""Simple Intermittent Fasting & Meal Tracker:
AI-powered personal Coach, health insights, motivation, and education.""",0,0
642117,Blexr,Malta,Advertising & Marketing,"Hiring,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Tom Jenney,2027-03-01,Q1 2027,0.01,"$14,256.00",2,60,FALSE,,SMB - Small,🟢 No Risk,"Blexr is a top-performing marketing company driven by a team of experts in lead generation for casino, sports betting and forex.",0,0
642111,Speedata,Israel,Information Technology and Services,Talent Package,Daniel Rosemberg,Jurgita Kazlauskaite,Tom Jenney,2027-03-03,Q1 2027,0,"$18,411.00",1,95,FALSE,,SMB - Small,🟢 No Risk,"Founded in 2019, Speedata is a data analytics processor company with headquarters in Israel.",0,0
605744,Overwolf,Israel,Software General,Talent Package,Daniel Rosemberg,Barak Alon,Eldad Nisani,2026-08-31,Q3 2026,3.51,"$33,258.00",241,142,TRUE,Medium Risk,Mid Market - Medium,🟠 Medium,"Overwolf is reinventing user generated content in the hardcore gaming space. Its active ecosystem of gamers and developers is continuously creating Overwolf apps using the Overwolf SDK, to enhance game experiences across more than 700 games. With more than 10 million players and 250 Overwolf apps focused on eSports, video, tools and social communication - Overwolf is positioned as a leading platform in the space. Overwolf's partners include Wargaming.net, HiRez, Crytek, Twitch, Zam Network, TeamSpeak, Cloud9 and more.",0,1
7422,ThetaRay,Israel,Software General,"Talent Package,  Time & Attendance",Daniel Rosemberg,Barak Alon,Eldad Nisani,2026-11-20,Q4 2026,8.79,"$39,999.60",271,83,TRUE,Low Risk,Mid Market - Medium,🟢 No Risk,"Founded in 2013, ThetaRay is a cybersecurity and big data company providing a platform for the detection of unknown threats and risks to protect critical infrastructure and financial services. ThetaRay is headquartered in Hod Hasharon, Israel and New York, New York.",0,0
634874,Alpha Affiliates,Cyprus,Casinos & Gaming,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Daniel Devine,2026-12-21,Q4 2026,2.2,"$44,058.48",157,72,TRUE,,SMB - Medium,🟢 No Risk,"Alpha Affiliates is a casino affiliate program which has great experience in the gambling market. Since 2012 Alpha Affiliates represents a range of online casinos. The company has been accredited by MGA licenses and is granted permission to conduct online gambling on the basis of Curacao licenses . Alpha Affiliates guarantees reliability, stability and players' orientation.",0,0
293219,Wiser,United Kingdom,"Human Resources, Staffing and Recruiting",Talent Package,Daniel Rosemberg,Maria Tsamtsika,Merry Geiss,2027-02-28,Q1 2027,5.01,"$17,093.99",109,70,TRUE,,SMB - Medium,🟢 No Risk,"Hi there! We are Wiser, an award-winning creative and recruitment company with a purpose
to change the way people think about work. We believe that people will do their best work
and thrive in life when they're in an environment that enables it. And that's what we've
created at Wiser - the ideal balance between a great culture where everyone can be real and
back themselves and encouraging high performers who love to take ownership and make
moves, no matter what their background. Inclusion is at heart of what we do for our clients
and how we are building our environment.
Our results speak for themselves - we were named the Global Creative Agency of the Year
by the Drum Awards and came first in the Times Top 100 Small Companies to Work for in
London, and placed #2 in the UK.",0,0
175903,REE Automotive,Israel,Motor Vehicle Parts,Talent Package,Daniel Rosemberg,Jurgita Kazlauskaite,Merry Geiss,2026-06-29,Q2 2026,5.68,"$13,728.00",104,53,TRUE,Low Risk,SMB - Medium,🟠 Medium,"REE takes electric mobility to match society needs by enabling a completely flat and modular chassis with optimal freedom of design, allowing multiple body configurations on a single platform.
REE’s flat skateboard chassis platform reduces a vehicles space and weight and increases efficiency.
We do that by integrating the motors, steering, suspension, drivetrain, sensing, brakes, and electronics into the wheel.
Supported by our partners, world-leading Tier1s and automakers, we ensure the delivery of cutting-edge technology, at automotive grade and large scale.
REE’s technology is in the process of becoming the standard for EVs.",0,1
32852,SysAid,Israel,Business Services,"Talent Package,  Time & Attendance,  Compensation",Daniel Rosemberg,Barak Alon,Merry Geiss,2026-08-29,Q3 2026,7.51,"$34,398.00",225,129,TRUE,Medium Risk,Mid Market - Medium,🟢 No Risk,"SysAid provides IT and enterprise service management solutions that helps transform agent productivity, the end-user experience, and value across the organization. The company has several locations world wide.",0,0
638117,BeeHero,United States,Information Technology and Services,"Talent Package,  Time & Attendance",Daniel Rosemberg,Yesenia Rosenberg,Brandon Vinton,2026-12-14,Q4 2026,1.22,"$16,170.00",77,70,TRUE,,SMB - Small,🟢 No Risk,"Based in California, BeeHero operates the worlds largest databases of bee and pollination performance and analysis, beehive data, yield performance benchmarking, and more, to measure pollination quality and optimize hive deployment that finally offers growers quality assurance to their bees.",0,0
634186,SILVARE Consulting LP,Greece,Business Services,Talent Package,Daniel Rosemberg,Barak Alon,Cameron Huddlestone,2026-11-15,Q4 2026,2.3,"$56,716.54",366,170,TRUE,,Mid Market - Medium,🟢 No Risk,"Outsourced IT consulting,",0,0
579326,Code.Hub,Greece,Technology,"Time & Attendance,  Talent Package",Daniel Rosemberg,Barak Alon,Cameron Huddlestone,2027-05-31,Q2 2027,3.76,"$55,428.18",286,130,TRUE,Medium Risk,Mid Market - Medium,🟢 No Risk,"The first Hub for Developers.

We are the most effective HR Consulting, Recruitment Service & Career Development path tool.

Code.Hub connecting the skills with the market through:

Code.Career
We are a dynamic IT Recruitment Agency with the only goal to provide a unique and unforgettable experience by matching true IT professionals with great employers

Code.Learn
Our programs are designed by experienced professionals and academic professors and are delivered exclusively from developers to developers. By recognizing the market needs we identify the key technologies that emerge and train the IT community.

Code.Event
We are Voxxed Days Growth partners and we manage 80% from Athens Meetup.

Code.Community
Exclusive platform for speak with professionals",0,0
637846,Genoox,Israel,Business Services,"Hiring,  Talent Package",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-09-29,Q3 2026,1.43,"$17,172.00",53,40,TRUE,,SMB - Small,🟠 Medium,"https://www.calcalist.co.il/internet/articles/0,7340,L-3738348,00.html that raised money so they are growing",0,0
628888,Statscore,Poland,Hospitality / Travel,"Time & Attendance,  Talent Package",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2027-02-28,Q1 2027,3.01,"$35,280.00",147,80,TRUE,,SMB - Medium,🟢 No Risk,"We are building the biggest sports data center in the world where everyone can find useful sports data feed, widgets and minisites from more than 100 sports",0,0
567622,Trulliion,Israel,Technology,"Time & Attendance,  Talent Package",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-05-29,Q2 2026,3.76,"$27,008.64",108,46,TRUE,,SMB - Medium,🟢 No Risk,"Trullion is a financial automation platform that takes unstructured data such as PDFs and translates them into real-time financial images, including Lease Accounting and Revenue Recognition. The company creates real-time visibility into company financials by digitizing a previously manual and costly process.",0,0
639111,groundcover,Israel,Information Technology and Services,"Talent Package,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-03-08,Q1 2026,0.97,"$17,740.80",88,50,TRUE,,SMB - Small,❌ Critical,"Founded in 2021, groundcover is a K8s application monitoring solutions provider with headquarters in Tel Aviv, Israel.",1,1
